epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.201,1.95185,2.22974,2.09154,0.70764,0.6,0.632,0.28881,2.0191,2.87199,2.10322,0.000663317,0.000663317,0.000663317
2,275.686,1.84521,1.61556,2.01037,0.75735,0.68186,0.68928,0.29872,2.03524,2.92531,2.14743,0.00132984,0.00132984,0.00132984
3,389.635,1.82265,1.55954,2.0088,0.71921,0.56615,0.65311,0.32025,1.8767,1.69267,2.12687,0.00199578,0.00199578,0.00199578
4,498.531,1.80873,1.52946,2.00549,0.75645,0.71077,0.74992,0.34929,1.90814,1.60507,1.98143,0.00199805,0.00199805,0.00199805
5,607.424,1.79235,1.53292,2.02084,0.81343,0.68154,0.77354,0.37786,1.81564,1.51511,2.01145,0.00199653,0.00199653,0.00199653
6,724.043,1.7687,1.47685,1.99424,0.79255,0.7406,0.81257,0.40378,1.7747,1.29636,2.0007,0.00199458,0.00199458,0.00199458
7,833.12,1.76954,1.44518,1.99149,0.809,0.71682,0.79934,0.38972,1.76719,1.27413,2.01683,0.00199219,0.00199219,0.00199219
8,951.07,1.73374,1.39664,1.9723,0.83138,0.74769,0.82874,0.42564,1.77912,1.25457,1.92173,0.00198938,0.00198938,0.00198938
9,1068.85,1.7306,1.37102,1.95751,0.84379,0.76,0.83363,0.42153,1.7002,1.44414,1.97798,0.00198614,0.00198614,0.00198614
10,1168.19,1.73023,1.38664,1.96805,0.80925,0.73077,0.81802,0.41338,1.78744,1.42437,2.02387,0.00198246,0.00198246,0.00198246
11,1280.87,1.70372,1.35845,1.95844,0.82937,0.75385,0.81323,0.42128,1.68863,1.3678,1.96697,0.00197837,0.00197837,0.00197837
12,1382.06,1.7152,1.36388,1.95869,0.85361,0.75356,0.83398,0.40614,1.7508,1.44597,1.95355,0.00197384,0.00197384,0.00197384
13,1481.02,1.68757,1.33626,1.93064,0.87302,0.76462,0.86169,0.44897,1.65363,1.08598,1.89128,0.0019689,0.0019689,0.0019689
14,1585.16,1.69009,1.32487,1.95041,0.8227,0.77231,0.82275,0.42677,1.72208,1.14916,1.94672,0.00196353,0.00196353,0.00196353
15,1687.57,1.67352,1.30429,1.90049,0.82552,0.79077,0.84491,0.42882,1.64408,1.1596,1.90001,0.00195775,0.00195775,0.00195775
16,1799.8,1.67731,1.30374,1.92794,0.8145,0.77231,0.81687,0.42854,1.71761,1.15806,1.9478,0.00195155,0.00195155,0.00195155
17,1942.88,1.67124,1.29957,1.91446,0.85165,0.74923,0.82579,0.41669,1.65325,1.3859,1.92453,0.00194493,0.00194493,0.00194493
18,2033.66,1.66786,1.29594,1.9148,0.85367,0.75692,0.84014,0.44028,1.64754,1.19924,1.98539,0.00193791,0.00193791,0.00193791
19,2117.95,1.65724,1.26595,1.89596,0.87397,0.74682,0.83491,0.4532,1.57657,1.12389,1.97289,0.00193048,0.00193048,0.00193048
20,2210.16,1.65281,1.26379,1.90102,0.82779,0.76923,0.82937,0.45048,1.66563,1.13845,2.01279,0.00192264,0.00192264,0.00192264
21,2295.51,1.65871,1.26302,1.88751,0.8012,0.72545,0.79144,0.41113,1.70082,1.18303,2.03123,0.00191441,0.00191441,0.00191441
22,2379.89,1.62776,1.23883,1.89866,0.8429,0.77538,0.84928,0.42545,1.70168,1.36708,2.06547,0.00190578,0.00190578,0.00190578
23,2465.21,1.64637,1.26041,1.91798,0.88192,0.74769,0.84841,0.4496,1.62843,1.15423,1.94914,0.00189675,0.00189675,0.00189675
24,2553.1,1.62741,1.23055,1.88177,0.80513,0.76769,0.81339,0.41764,1.65605,1.24659,1.9334,0.00188734,0.00188734,0.00188734
25,2637.36,1.62594,1.23914,1.90611,0.83934,0.80154,0.86162,0.46284,1.60527,1.009,1.96908,0.00187754,0.00187754,0.00187754
26,2723.51,1.63147,1.22412,1.89473,0.82848,0.81077,0.86165,0.44237,1.64018,1.14841,1.88755,0.00186737,0.00186737,0.00186737
27,2812.36,1.61006,1.20229,1.86882,0.85341,0.78923,0.86019,0.4633,1.57605,1.0154,1.97371,0.00185681,0.00185681,0.00185681
28,2900.86,1.60725,1.19722,1.86813,0.86742,0.77538,0.85747,0.45581,1.61961,1.10716,1.9086,0.00184588,0.00184588,0.00184588
29,2987.93,1.61122,1.19906,1.88396,0.83501,0.77863,0.85175,0.43089,1.68213,1.03438,1.94924,0.00183459,0.00183459,0.00183459
30,3075.44,1.60682,1.19688,1.85465,0.89888,0.76586,0.8662,0.48113,1.55592,0.99365,1.94728,0.00182294,0.00182294,0.00182294
31,3162.39,1.60483,1.18784,1.87729,0.84617,0.81846,0.85915,0.46762,1.62434,1.01554,1.93204,0.00181093,0.00181093,0.00181093
32,3248.65,1.59239,1.1767,1.83364,0.87608,0.78462,0.86427,0.46203,1.64429,1.02484,2.04436,0.00179856,0.00179856,0.00179856
33,3332.41,1.59681,1.18894,1.86545,0.87928,0.80769,0.88022,0.47185,1.57519,0.95823,1.9037,0.00178586,0.00178586,0.00178586
34,3416.97,1.58675,1.1629,1.85237,0.86404,0.78218,0.86384,0.46754,1.53997,1.13131,2.03227,0.00177281,0.00177281,0.00177281
