epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.34,1.92729,2.23484,2.06032,0.67067,0.65846,0.67289,0.33145,2.01839,2.59526,1.9115,0.000663594,0.000663594,0.000663594
2,321.066,1.81634,1.63122,2.01349,0.80755,0.67786,0.76994,0.36309,2.06231,2.19523,1.87028,0.00133012,0.00133012,0.00133012
3,474.52,1.823,1.59346,2.01963,0.80062,0.60769,0.7276,0.34148,1.96346,1.99319,1.99581,0.00199606,0.00199606,0.00199606
4,645.385,1.82186,1.5892,2.03991,0.74416,0.72492,0.75758,0.38504,1.93333,6.55567,1.9128,0.00199805,0.00199805,0.00199805
5,795.752,1.81427,1.5352,2.0393,0.78423,0.71012,0.78752,0.38162,1.78925,2.46296,1.8933,0.00199653,0.00199653,0.00199653
6,942.921,1.77944,1.4837,2.00062,0.82488,0.7,0.79578,0.37836,1.83318,2.06502,1.87596,0.00199458,0.00199458,0.00199458
7,1065.47,1.77473,1.46195,2.02249,0.82701,0.72,0.8094,0.39319,1.83448,1.87374,1.8897,0.00199219,0.00199219,0.00199219
8,1190.85,1.74935,1.4538,1.99084,0.78719,0.75538,0.79101,0.40042,1.79963,2.01397,1.86489,0.00198938,0.00198938,0.00198938
9,1313.38,1.73071,1.40718,1.97433,0.82126,0.69846,0.78052,0.39412,1.87146,2.05884,1.82406,0.00198614,0.00198614,0.00198614
10,1443.06,1.72669,1.39061,1.9721,0.80471,0.7417,0.79504,0.40684,1.74228,1.50618,1.86917,0.00198246,0.00198246,0.00198246
11,1568.15,1.71832,1.36355,1.95509,0.85716,0.73846,0.80906,0.38102,1.83489,2.02735,1.87666,0.00197837,0.00197837,0.00197837
12,1698.81,1.71695,1.37901,1.97244,0.80332,0.73692,0.79833,0.41155,1.87232,1.48023,1.84613,0.00197384,0.00197384,0.00197384
13,1825.54,1.68564,1.34724,1.94139,0.83144,0.75385,0.8048,0.4148,1.77308,1.68872,1.84181,0.0019689,0.0019689,0.0019689
14,1950.75,1.69873,1.34342,1.95163,0.84335,0.71538,0.7851,0.40692,1.78752,1.7374,1.79845,0.00196353,0.00196353,0.00196353
15,2076.38,1.70365,1.35128,1.94475,0.83698,0.75039,0.83721,0.41743,1.77642,2.32231,1.87858,0.00195775,0.00195775,0.00195775
16,2201.87,1.67685,1.29634,1.93968,0.85378,0.76356,0.83942,0.42728,1.69664,1.85045,1.87878,0.00195155,0.00195155,0.00195155
17,2329.86,1.66705,1.29859,1.92185,0.83303,0.68154,0.77977,0.4124,1.77194,1.39709,1.95018,0.00194493,0.00194493,0.00194493
18,2457.37,1.66992,1.31877,1.93835,0.84747,0.74364,0.81824,0.40562,1.72291,1.74208,1.99214,0.00193791,0.00193791,0.00193791
19,2582.38,1.67236,1.29638,1.91872,0.81242,0.74462,0.80693,0.4153,1.86025,1.59662,1.80648,0.00193048,0.00193048,0.00193048
20,2705.3,1.64457,1.26998,1.92019,0.83586,0.75846,0.82126,0.4175,1.81485,1.406,1.83392,0.00192264,0.00192264,0.00192264
21,2830.88,1.65878,1.29352,1.918,0.82243,0.78379,0.84583,0.43117,1.6675,1.48258,1.83303,0.00191441,0.00191441,0.00191441
22,2985.04,1.64824,1.28926,1.91218,0.871,0.73538,0.81607,0.41598,1.83716,1.84177,1.85793,0.00190578,0.00190578,0.00190578
